species_id,family,genus,species,genus_species_subspecies,genus_species,woodspecificgrav,seedmass,height,leafmass,relativegrowthratesaplings,relativegrowthratelarge,robin,lifeform,breeding,repr_no95,bsl_repr95,bas95,stno
koanwe,Asteraceae,Koanophyllon,wetmorei,Koanophyllon wetmorei,Koanophyllon wetmorei,NA,NA,NA,NA,NA,NA,30,shrub,bisex,6,0.013719,0.014646,9
ouralu,Ochnaceae,Ouratea,lucens,Ouratea lucens,Ouratea lucens,0.802,0.097,11.6,103.5,0.018,NA,30,shrub,bisex,180,0.265985,0.517279,1335
pipea1,Piperaceae,Piper,arboreum,Piper arboreum,Piper arboreum,NA,NA,NA,NA,NA,NA,30,shrub,bisex,9,0.0208,0.03188,43
psycg3,Rubiaceae,Psychotria,grandis,Psychotria grandis,Psychotria grandis,NA,NA,NA,NA,NA,NA,30,shrub,bisex,20,0.051527,0.066134,72
aegipa,Lamiaceae,Aegiphila,panamensis,Aegiphila panamensis,Aegiphila panamensis,NA,NA,NA,NA,NA,NA,40,shrub,bisex,60,0.492289,0.504791,80
ardife,Myrsinaceae,Ardisia,standleyana,Ardisia standleyana,Ardisia standleyana,NA,NA,NA,NA,NA,NA,40,shrub,bisex,20,0.0746,0.10289,92
casegu,Salicaceae,Casearia,guianensis,Casearia guianensis,Casearia guianensis,NA,NA,NA,NA,NA,NA,40,shrub,bisex,11,0.047178,0.050383,19
ery2ma,Erythroxylaceae,Erythroxylum,macrophyllum,Erythroxylum macrophyllum,Erythroxylum macrophyllum,0.643,NA,12.9,90.4,0.028,NA,40,shrub,bisex,59,0.402852,0.473585,302
micoaf,Melastomataceae,Miconia,affinis,Miconia affinis,Miconia affinis,0.57,NA,8.7,46.2,0.064,NA,40,shrub,bisex,123,0.42897,0.552906,426
solaha,Solanaceae,Solanum,hayesii,Solanum hayesii,Solanum hayesii,NA,NA,NA,NA,NA,NA,40,shrub,bisex,28,0.292923,0.29861,42
ery1co,Fabaceae-papilionoideae,Erythrina,costaricensis,Erythrina costaricensis,Erythrina costaricensis,0.5,NA,9.4,19.4,NA,9.00E-04,50,shrub,bisex,88,0.608234,0.661317,144
laciag,Lacistemataceae,Lacistema,aggregatum,Lacistema aggregatum,Lacistema aggregatum,0.558,0.011052,16.3,51.1,0.028,0.008,50,shrub,bisex,139,0.917245,1.493277,1752
pit1ru,Fabaceae-mimosoideae,Cojoba,rufescens,Cojoba rufescens,Cojoba rufescens,NA,NA,NA,NA,NA,NA,80,shrub,bisex,0,0,0.003808,2
posola,Rubiaceae,Posoqueria,latifolia,Posoqueria latifolia,Posoqueria latifolia,NA,NA,NA,NA,NA,NA,80,shrub,bisex,17,0.701479,0.768526,82
casesy,Salicaceae,Casearia,sylvestris,Casearia sylvestris sylvestris,Casearia sylvestris,0.662,NA,16.4,70.4,NA,0.0099,100,shrub,bisex,54,1.30416,1.496653,199
ternte,Pentaphylacaceae,Ternstroemia,tepezapote,Ternstroemia tepezapote,Ternstroemia tepezapote,NA,NA,NA,NA,NA,NA,20,tree,bisex,1,0.006221,0.006221,1
heisac,Erythropalaceae,Heisteria,acuminata,Heisteria acuminata,Heisteria acuminata,NA,NA,NA,NA,NA,NA,50,tree,bisex,48,0.258076,0.294044,108
apeiti,Malvaceae,Apeiba,tibourbou,Apeiba tibourbou,Apeiba tibourbou,NA,NA,NA,NA,NA,NA,80,tree,bisex,24,0.979578,0.990073,29
celtsc,Cannabaceae,Celtis,schippii,Celtis schippii,Celtis schippii,0.579,NA,20.7,51.5,NA,0.014,160,tree,bisex,7,0.322816,0.964316,137
lacmpa,Apocynaceae,Lacmellea,panamensis,Lacmellea panamensis,Lacmellea panamensis,0.502,0.227051,21.8,52.6,NA,0.019,160,tree,bisex,26,1.131536,1.57241,103
ochrpy,Malvaceae,Ochroma,pyramidale,Ochroma pyramidale,Ochroma pyramidale,NA,NA,NA,NA,NA,NA,160,tree,bisex,5,0.683783,0.688439,6
cordal,Boraginaceae,Cordia,alliodora,Cordia alliodora,Cordia alliodora,0.455,0.005611,31.6,30.5,NA,0.0236,200,tree,bisex,44,3.916064,4.272255,110
ingasp,Fabaceae-mimosoideae,Inga,spectabilis,Inga spectabilis,Inga spectabilis,NA,NA,NA,NA,NA,NA,200,tree,bisex,6,0.528444,0.706857,19
laetpr,Salicaceae,Laetia,procera,Laetia procera,Laetia procera,NA,NA,NA,NA,NA,NA,200,tree,bisex,5,0.568384,0.736006,27
vochfe,Vochysiaceae,Vochysia,ferruginea,Vochysia ferruginea,Vochysia ferruginea,NA,NA,NA,NA,NA,NA,200,tree,bisex,6,0.746548,0.870045,26
pit1ma,Fabaceae-mimosoideae,Abarema,macradenia,Abarema macradenia,Abarema macradenia,NA,NA,NA,NA,NA,NA,300,tree,bisex,1,0.380459,0.380459,1
apeime,Malvaceae,Apeiba,membranacea,Apeiba membranacea,Apeiba membranacea,0.321,0.004113,28.4,24.4,NA,0.0139,300,tree,bisex,104,27.516811,31.238205,292
aspicr,Apocynaceae,Aspidosperma,spruceanum,Aspidosperma spruceanum,Aspidosperma spruceanum,0.77,0.45395,38.6,92.7,0.025,0.0202,300,tree,bisex,21,7.130461,8.433551,505
beilpe,Lauraceae,Beilschmiedia,pendula,Beilschmiedia pendula,Beilschmiedia pendula,0.528,3.876056,34.2,69.8,0.032,0.0113,300,tree,bisex,116,24.610318,31.171138,2891
