"","name","beta","p_survive_annual"
"220","Swartzia simplex grandiflora",-0.86683475615537,0.991004855271467
"221","Symphonia globulifera",-0.695707393139839,0.931136575643898
"222","Tabebuia guayacan",-0.951019974376547,0.991190713527147
"223","Tabebuia rosea",-0.929119366990463,0.978167633158105
"224","Tabernaemontana arborea",-0.773155534311926,0.979496543334356
"225","Tachigali versicolor",-0.469621468764549,0.915900707206202
"226","Talisia croatii",-0.883647596418408,0.975770549194844
"227","Talisia nervosa",-0.828570305948081,0.987061676808662
"228","Terminalia amazonia",-0.802654718616802,0.985095263749684
"229","Terminalia oblonga",-0.922397112680104,0.992426490968894
"230","Ternstroemia tepezapote",-0.693180830763143,0.963153092118259
"231","Tetragastris panamensis",-0.873300106500558,0.984373351408281
"232","Tetrathylacium johansenii",-0.955282645962445,0.969988671767109
"233","Theobroma cacao",-0.891019450625956,0.982059378695012
"234","Thevetia ahouai",-0.736380277569946,0.964604962707037
"235","Tocoyena pittieri",-0.82051156616227,0.987444051991976
"236","Trattinnickia aspera",-0.772878024443186,0.963118338271404
"237","Trema micrantha",-0.197491565184421,0.895242124469344
"238","Trichanthera gigantea",-0.547468965323208,0.929398802394614
"239","Trichilia pallida",-0.706774612325543,0.98229227018246
"240","Trichilia tuberculata",-0.792254335727609,0.957376419495213
"241","Trichospermum galeottii",-0.508415492628493,0.886513530424329
"242","Triplaris cumingiana",-0.768911370241886,0.973829050662073
"243","Trophis caucana",-0.84962798411151,0.959829239477422
"244","Trophis racemosa",-0.898116881369498,0.957568033109218
"245","Turpinia occidentalis",-0.496588720229896,0.932741659653143
"246","Unonopsis pittieri",-0.757462076011476,0.979127847149192
"247","Virola multiflora",-0.666685339158064,0.97861882215773
"248","Virola sebifera",-0.722267479966451,0.966965133733379
"249","Virola surinamensis",-0.834461423241805,0.980028645078206
"250","Vismia baccifera",-0.521537912724359,0.93597853661761
"251","Vochysia ferruginea",-0.331870312042199,0.932840211230374
"252","Xylopia macrantha",-0.529479756543738,0.988988968784174
"253","Xylosma oligandra",-0.83216430441449,0.952005650473299
"254","Zanthoxylum acuminatum",-0.353677083175511,0.939693344955167
"255","Zanthoxylum ekmanii",-0.558953775341129,0.960488266309169
"256","Zanthoxylum panamense",-0.494750954231407,0.947434170754391
"257","Zanthoxylum setulosum",-0.776684146683477,0.971546761281589
"258","Zuelania guidonia",-0.804918510047152,0.973763667119128
