"","species","censusyear","est","LCI","UCI"
"149","Celtis schippii",2601,0.0127224658788794,0.000745625852016697,0.0271535647321111
"150","Celtis schippii",2605,0.0126724844092864,0.000729806871121911,0.0268400678327353
"151","Celtis schippii",2609,0.0122577894266899,0.000717398355552059,0.0265708944737709
"152","Celtis schippii",2613,0.0122526401206818,0.000679803638386909,0.0262298244580361
"153","Celtis schippii",2617,0.0121653052256426,0.000617696166389172,0.0259997656311888
"154","Celtis schippii",2621,0.0119589942509195,0.000600565378715604,0.0256130884081653
"155","Celtis schippii",2626,0.0119145875322724,0.000543005699630335,0.0252071126795307
"156","Celtis schippii",2630,0.011619406307699,0.000532233356344633,0.025224313505098
"157","Celtis schippii",2634,0.011440161754359,0.000549990373934779,0.0250959041770391
"158","Celtis schippii",2638,0.011301683199633,0.000512073333722655,0.0246180404762379
"159","Celtis schippii",2642,0.0111003642158587,0.000499150314921567,0.0245465105310488
"160","Celtis schippii",2646,0.0109557142824775,0.000525226053462881,0.0241528648602087
"161","Celtis schippii",2650,0.0110064570546132,0.000533646142391794,0.0240090467802541
"162","Celtis schippii",2654,0.0109044441155039,0.00055192803763937,0.0236716157326117
"163","Celtis schippii",2658,0.0107372008948114,0.000527190764642825,0.0233631100742515
"164","Celtis schippii",2663,0.0108512131715755,0.000535460278248873,0.0230531947395354
"165","Celtis schippii",2667,0.0107640172738501,0.000474303305050957,0.0227193661348498
"166","Celtis schippii",2671,0.0104929170050831,0.000457659424940366,0.0224464063240119
"167","Celtis schippii",2675,0.0102129696407688,0.000446148065632216,0.0219384337423485
"168","Celtis schippii",2679,0.0101627609168338,0.000395073079424593,0.0218022533073345
"169","Celtis schippii",2683,0.0102666081808313,0.000371500680721596,0.0214419687677815
"170","Celtis schippii",2687,0.0100184753561181,0.000367558281112859,0.0212955477995917
"171","Celtis schippii",2692,0.00985858929151975,0.000352013143576374,0.0209448510601393
"172","Celtis schippii",2696,0.00954602470028073,0.000337895209993975,0.020670795317355
"173","Celtis schippii",2700,0.00936850196830982,0.000324076772364958,0.0203339882374679
"174","Celtis schippii",2704,0.00935678618374215,0.000314135308924502,0.0199787405158964
"175","Celtis schippii",2708,0.00937048688308849,0.000319159194928012,0.0195561822917576
"176","Celtis schippii",2712,0.00937076922417285,0.000258757628526481,0.0193659829986004
"177","Celtis schippii",2716,0.00910080221832324,0.000248188429011648,0.0186740238904275
"178","Celtis schippii",2720,0.00908865910091176,0.000207685416494507,0.0183046070440358
"179","Celtis schippii",2724,0.00913082367638053,0.000196334425782787,0.0178339800387137
"180","Celtis schippii",2729,0.0088854580523619,0.000179072946043349,0.0175721159168241
"181","Celtis schippii",2733,0.00857304979170194,0.00015590065296417,0.0171496819887042
"182","Celtis schippii",2737,0.00871080941524525,0.000148940698133294,0.0169663245356304
