"","censussize","censusyear","simulation_nr","D_species_richness","D_simpson","N_runs","H_simpson"
"538",50188.8,2015,38,224,0.845506918148995,1,6.47278174542736
"539",50188.8,2015,39,228,0.845187437391512,1,6.45942411359046
"540",50188.8,2015,40,226,0.849720273058353,1,6.65425749933852
"541",50188.8,2015,41,229,0.850075799793823,1,6.67003724965543
"542",50188.8,2015,42,229,0.847119162713472,1,6.54104214595456
"543",50188.8,2015,43,237,0.84690902968045,1,6.53206389581747
"544",50188.8,2015,44,230,0.849880440668566,1,6.66135715061752
"545",50188.8,2015,45,232,0.845617159877828,1,6.47740383068898
"546",50188.8,2015,46,228,0.849275048264194,1,6.63460156054866
"547",50188.8,2015,47,235,0.847822199243028,1,6.57126068996752
"548",50188.8,2015,48,230,0.847709394597658,1,6.56639322798715
"549",50188.8,2015,49,230,0.849052244905717,1,6.62480869208947
"550",50188.8,2015,50,237,0.845767900278053,1,6.48373459093678
"551",50188.8,2015,51,233,0.850548565880322,1,6.69113686255575
"552",50188.8,2015,52,230,0.848368518402027,1,6.5949365492012
"553",50188.8,2015,53,240,0.848196950056774,1,6.58748292853141
"554",50188.8,2015,54,239,0.851078604319462,1,6.71495184040021
"555",50188.8,2015,55,230,0.846814636816698,1,6.52803883621308
"556",50188.8,2015,56,231,0.847345389942703,1,6.5507356746361
"557",50188.8,2015,57,234,0.847504948760662,1,6.55758984880448
"558",50188.8,2015,58,232,0.847952728790042,1,6.57690198608778
"559",50188.8,2015,59,230,0.850135160239007,1,6.67267920610875
"560",50188.8,2015,60,237,0.849703402920604,1,6.6535105879459
"561",50188.8,2015,61,231,0.849861737306887,1,6.66052731703729
"562",50188.8,2015,62,230,0.845480178540745,1,6.471661632509
"563",50188.8,2015,63,222,0.849332177619803,1,6.63711723048994
"564",50188.8,2015,64,235,0.849327673384519,1,6.6369188188885
"565",50188.8,2015,65,234,0.849560674647545,1,6.64719811563341
"566",50188.8,2015,66,231,0.849984152066019,1,6.66596238845434
"567",50188.8,2015,67,230,0.849225017963465,1,6.63240006062601
"568",50188.8,2015,68,234,0.846867441533783,1,6.53028990056749
"569",50188.8,2015,69,226,0.850953396679856,1,6.70931089822998
"570",50188.8,2015,70,230,0.849941635122561,1,6.66407368104242
"571",50188.8,2015,71,230,0.851999363876695,1,6.75672771545969
"572",50188.8,2015,72,231,0.847550492471338,1,6.55954890383616
"573",50188.8,2015,73,230,0.847838943400188,1,6.57198380680302
"574",50188.8,2015,74,222,0.848533344435532,1,6.60211315997783
"575",50188.8,2015,75,232,0.850331546539092,1,6.68143471036262
"576",50188.8,2015,76,227,0.847340638618542,1,6.55053179150442
"577",50188.8,2015,77,233,0.847329123092439,1,6.55003770369041
"578",50188.8,2015,78,225,0.847932276398996,1,6.57601742381442
"579",50188.8,2015,79,235,0.846493663796328,1,6.51438907820197
"580",50188.8,2015,80,232,0.848147804095322,1,6.58535093313847
"581",50188.8,2015,81,234,0.848737696609334,1,6.61103247527107
"582",50188.8,2015,82,234,0.84715815563008,1,6.54271089257285
"583",50188.8,2015,83,238,0.848344573780928,1,6.59389528572135
"584",50188.8,2015,84,237,0.844187864544801,1,6.41798533264779
"585",50188.8,2015,85,229,0.848899669099881,1,6.61811919300843
"586",50188.8,2015,86,231,0.84884870241306,1,6.61588763023891
"587",50188.8,2015,87,234,0.850179021741082,1,6.67463269577521
"588",50188.8,2015,88,231,0.846344639692838,1,6.50807103638278
"589",50188.8,2015,89,231,0.844993014832044,1,6.45132217052324
"590",50188.8,2015,90,229,0.846857389641653,1,6.5298612689182
"591",50188.8,2015,91,227,0.847362566192225,1,6.55147282716611
"592",50188.8,2015,92,230,0.847868753195137,1,6.57327157308247
"593",50188.8,2015,93,228,0.847813776659102,1,6.57089701056578
"594",50188.8,2015,94,228,0.848249345553495,1,6.58975741256204
"595",50188.8,2015,95,229,0.85217495925969,1,6.76475375884886
"596",50188.8,2015,96,230,0.847187910229008,1,6.54398484765589
"597",50188.8,2015,97,241,0.846691094073308,1,6.52277826885134
"598",50188.8,2015,98,232,0.85016514605577,1,6.67401458122829
"599",50188.8,2015,99,230,0.844520346262909,1,6.43170971869382
"600",50188.8,2015,100,233,0.847924385107166,1,6.57567619045757
"601",58553.6,2015,1,230,0.848782612478663,1,6.61299614013564
"602",58553.6,2015,2,233,0.84737772585709,1,6.55212357184273
"603",58553.6,2015,3,243,0.848733598959988,1,6.61085338928295
"604",58553.6,2015,4,235,0.848002957170993,1,6.5790753648081
"605",58553.6,2015,5,234,0.849038125817447,1,6.62418909022509
"606",58553.6,2015,6,230,0.848051604527651,1,6.58118170245486
